Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
100, FRAM2, 0, 0, 0, 46, 
100, FRPE, 0, 0, 0, 14, 
100, JUNI, 0, 0, 0, 72, 
100, JUVI, 0, 0, 0, 483, 
100, LIST, 0, 0, 0, 848, 
100, LITU, 0, 0, 0, 1148, 
100, NYSY, 0, 0, 0, 192, 
100, OXAR, 0, 0, 0, 321, 
100, PIEC, 0, 0, 0, 584, 
100, PIST, 0, 0, 0, 0, 
100, PITA, 0, 0, 0, 0, 
100, PIVI2, 0, 0, 0, 0, 
100, PLOC, 0, 0, 0, 18, 
100, PRSE2, 0, 0, 0, 437, 
100, QUAL, 0, 0, 0, 1295, 
100, QUCO2, 0, 0, 0, 203, 
100, QUFA, 0, 0, 0, 739, 
100, QUMO4, 0, 0, 0, 105, 
100, QUPH, 0, 0, 0, 52, 
100, QURU, 0, 0, 0, 161, 
100, QUST, 0, 0, 0, 181, 
100, QUVE, 0, 0, 0, 95, 
100, ULAL, 0, 0, 0, 236, 
100, ULAM, 0, 0, 0, 87, 
100, PIPA, 0, 0, 0, 0, 
